Tested_Number,Função_Simples,Função_Complexa
1000,0.0001,0.0001
2000,0.0002,0
3000,0.0004,0
4000,0.0006,0
5000,0.0007,0
6000,0.0009,0
7000,0.0011,0
8000,0.0017,0.0001
9000,0.0015,0.0001
10000,0.0018,0.0001
11000,0.002,0.0001
12000,0.0025,0.0001
13000,0.0025,0.0001
14000,0.0038,0.0002
15000,0.0054,0.0002
16000,0.006,0.0002
17000,0.0036,0.0001
18000,0.0042,0.0001
19000,0.004,0.0001
20000,0.0043,0.0001
21000,0.0048,0.0001
22000,0.0051,0.0001
23000,0.0051,0.0002
24000,0.0055,0.0002
25000,0.0057,0.0002
26000,0.006,0.0002
27000,0.0066,0.0002
28000,0.0068,0.0002
29000,0.007,0.0002
30000,0.0078,0.0002
31000,0.0077,0.0002
32000,0.008,0.0002
33000,0.0084,0.0002
34000,0.0092,0.0003
35000,0.0094,0.0003
36000,0.0097,0.0003
37000,0.0096,0.0003
38000,0.0101,0.0003
39000,0.0103,0.0003
40000,0.0112,0.0003
41000,0.0118,0.0003
42000,0.0138,0.0003
43000,0.0117,0.0003
44000,0.012,0.0004
45000,0.0125,0.0004
46000,0.0137,0.0004
47000,0.0132,0.0004
48000,0.0148,0.0004
49000,0.0143,0.0004
50000,0.0154,0.0004
51000,0.0148,0.0004
52000,0.015,0.0004
53000,0.0156,0.0004
54000,0.0158,0.0005
55000,0.0163,0.0004
56000,0.0168,0.0005
57000,0.0169,0.0005
58000,0.0174,0.0005
59000,0.018,0.0006
60000,0.0193,0.0006
61000,0.0189,0.0006
62000,0.0229,0.0006
63000,0.0195,0.0006
64000,0.0198,0.0006
65000,0.0202,0.0006
66000,0.0208,0.0006
67000,0.0211,0.0006
68000,0.0214,0.0006
69000,0.0229,0.0006
70000,0.0228,0.0006
71000,0.025,0.0007
72000,0.0233,0.0007
73000,0.0237,0.0006
74000,0.0245,0.0007
75000,0.0246,0.0007
76000,0.0253,0.0007
77000,0.0253,0.0007
78000,0.0287,0.0007
79000,0.0265,0.0007
80000,0.0272,0.0009
81000,0.0271,0.0007
82000,0.0349,0.0008
83000,0.0281,0.0008
84000,0.0288,0.0008
85000,0.0339,0.001
86000,0.0344,0.0009
87000,0.0325,0.0009
88000,0.0312,0.0008
89000,0.0321,0.0009
90000,0.0321,0.0009
91000,0.0336,0.0009
92000,0.0322,0.0009
93000,0.0337,0.0009
94000,0.0352,0.0009
95000,0.0335,0.0009
96000,0.0351,0.001
97000,0.0367,0.001
98000,0.0355,0.001
99000,0.0355,0.001
100000,0.0365,0.001
101000,0.0365,0.001
102000,0.037,0.0011
103000,0.0383,0.001
104000,0.0378,0.001
105000,0.0439,0.0011
106000,0.0393,0.0011
107000,0.0401,0.0011
108000,0.04,0.0011
109000,0.0406,0.0012
110000,0.0475,0.0012
111000,0.0425,0.0012
112000,0.0447,0.0012
113000,0.0426,0.0012
114000,0.0459,0.0012
115000,0.045,0.0012
116000,0.0447,0.0013
117000,0.0442,0.0012
118000,0.0454,0.0012
119000,0.0464,0.0012
120000,0.0489,0.0013
121000,0.0466,0.0013
122000,0.0468,0.0014
123000,0.0476,0.0014
124000,0.0516,0.0014
125000,0.0484,0.0014
126000,0.049,0.0014
127000,0.0505,0.0015
128000,0.0522,0.0014
129000,0.0508,0.0014
130000,0.052,0.0024
131000,0.0572,0.0015
132000,0.0521,0.0015
133000,0.0558,0.002
134000,0.0623,0.0015
135000,0.054,0.0014
136000,0.0541,0.0015
137000,0.0651,0.0015
138000,0.0557,0.0016
139000,0.0565,0.0015
140000,0.0591,0.0016
141000,0.0571,0.0016
142000,0.0578,0.0016
143000,0.0625,0.0016
144000,0.0595,0.0016
145000,0.0601,0.0017
146000,0.06,0.0017
147000,0.063,0.003
148000,0.0632,0.0018
149000,0.0647,0.0017
150000,0.0631,0.0021
151000,0.0636,0.0017
152000,0.0632,0.0018
153000,0.0691,0.0019
154000,0.0641,0.0018
155000,0.0645,0.0018
156000,0.0652,0.0018
157000,0.0663,0.0019
158000,0.0664,0.0019
159000,0.067,0.0019
160000,0.0688,0.0019
161000,0.0684,0.002
162000,0.0754,0.002
163000,0.0752,0.0022
164000,0.0698,0.0019
165000,0.0717,0.002
166000,0.0713,0.002
167000,0.0722,0.0022
168000,0.0773,0.0022
169000,0.0776,0.0023
170000,0.0781,0.0023
171000,0.0775,0.0021
172000,0.0837,0.0022
173000,0.0795,0.0023
174000,0.0792,0.0023
175000,0.0872,0.0025
176000,0.0801,0.0022
177000,0.079,0.0023
178000,0.0784,0.0022
179000,0.0786,0.0021
180000,0.0809,0.0022
181000,0.08,0.0022
182000,0.0871,0.0022
183000,0.086,0.0023
184000,0.0814,0.0023
185000,0.0823,0.0022
186000,0.0827,0.0022
187000,0.0896,0.0023
188000,0.0838,0.0025
189000,0.0867,0.0024
190000,0.0883,0.0027
191000,0.0909,0.0025
192000,0.0938,0.0023
193000,0.0876,0.0024
194000,0.0884,0.0025
195000,0.0884,0.0026
196000,0.0905,0.0025
197000,0.0906,0.0025
198000,0.0982,0.0026
199000,0.0924,0.0026
200000,0.0948,0.0027
201000,0.111,0.0031
202000,0.0987,0.0026
203000,0.0934,0.0026
204000,0.0939,0.0025
205000,0.0955,0.0025
206000,0.0957,0.0026
207000,0.0969,0.0029
208000,0.1034,0.0028
209000,0.0974,0.0028
210000,0.0997,0.0029
211000,0.098,0.0029
212000,0.1023,0.0028
213000,0.0991,0.0028
214000,0.1001,0.0029
215000,0.1008,0.0029
216000,0.102,0.0028
217000,0.1017,0.0029
218000,0.1091,0.0029
219000,0.1052,0.0029
220000,0.1065,0.003
221000,0.1062,0.0032
222000,0.1115,0.003
223000,0.1066,0.0031
224000,0.1076,0.0031
225000,0.1084,0.003
226000,0.1086,0.003
227000,0.1153,0.003
228000,0.1113,0.0031
229000,0.1105,0.0031
230000,0.1114,0.0033
231000,0.112,0.0034
232000,0.1223,0.0032
233000,0.1133,0.0031
234000,0.1136,0.0031
235000,0.1144,0.0032
236000,0.1256,0.0033
237000,0.1172,0.0032
238000,0.1156,0.0033
239000,0.1164,0.0033
240000,0.1175,0.0034
241000,0.1232,0.0034
242000,0.1185,0.0035
243000,0.1194,0.0035
244000,0.1279,0.0034
245000,0.1224,0.0034
246000,0.121,0.0034
247000,0.122,0.0034
248000,0.1223,0.0034
249000,0.1231,0.0034
250000,0.1251,0.0034
251000,0.1302,0.0035
252000,0.1327,0.0035
253000,0.1282,0.0035
254000,0.1274,0.0036
255000,0.1287,0.0036
256000,0.1282,0.0036
257000,0.1295,0.0035
258000,0.1309,0.0038
259000,0.1307,0.0037
260000,0.1392,0.0036
261000,0.1364,0.0036
262000,0.1322,0.0039
263000,0.1326,0.0037
264000,0.1345,0.0037
265000,0.1344,0.0039
266000,0.135,0.0039
267000,0.1426,0.004
268000,0.1365,0.0039
269000,0.137,0.004
270000,0.1383,0.0038
271000,0.1446,0.0039
